SMILES,ionicSMILES,Modifier,Behaviour Type,Positive?,1500,2000,2500,3000,3250,3500,3750,4000
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,CC(C)(C)[NH2+]CC(O)c1cc(Cl)c(N)c(Cl)c1,1,1,0,-0.9,-2.1,-4.2,-6,-6.7,-6.8,-6.9,-6.1
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1,0,2,0,0.44,1.07,2.2,4.07,5.35,6.86,8.64,10.69
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1,1,1,0,-1.85,-3.8,-6.6,-8.4,-9,-8.6,-8.3,-6.6
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1,0,2,0,0.49,1.1,2.21,4.07,5.33,6.83,8.59,10.57
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1,1,1,0,-0.7,-1.8,-3.6,-5,-5.5,-5.3,-5,-3.5
CC(C)(CO)[C@H](O)C(=O)NCCC(O)=O,CC(C)(CO)[C@H](O)C(=[OH+])NCCC(O)=O,0,2,0,0.42,0.65,1,2.2,2.9,4.1,5.4,7.3
CC(C)[C@H](N)C(O)=O,CC(C)[C@H](N)C(O)=[OH+],0,1,0,-0.65,-1.81,-3.23,-4.53,-4.99,-5.22,-5.04,-4.54
CC(C)[C@H](N)C(O)=O,CC(C)[C@H](N)C(O)=[OH+],1,0,0,-5.9,-10.9,-20.9,-33.3,-40.1,-46.9,-51.1,-56.1
CC(C)C[C@H](N)C(O)=O,CC(C)C[C@H](N)C(O)=[OH+],0,1,0,-0.42,-1.29,-2.36,-3.26,-3.51,-3.5,-3.19,-2.55
CC(C)C[C@H](N)C(O)=O,CC(C)C[C@H](N)C(O)=[OH+],1,0,0,-5.15,-9.6,-18.4,-29.3,-35.2,-41.3,-47.3,-52.1
CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,CC(C)C1CCC(C1(CN2C=NC=[NH+]2)O)CC3=CC=C(C=C3)Cl,0,2,0,0.6,1.38,2.72,4.75,6.08,7.68,9.51,11.6
CC(C)c1ccc(NC(=O)N(C)C)cc1,CC(C)c1ccc(NC(=[OH+])N(C)C)cc1,0,2,0,0.22,0.58,1.23,2.39,3.25,4.39,5.91,7.6
CC(C)c1ccc(NC(=O)N(C)C)cc1,CC(C)c1ccc(NC(=[OH+])N(C)C)cc1,1,0,0,-2.16,-3.8,-7.19,-10.58,-12.37,-13.88,-15.02,-15.55
CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O,CC(C)Cc1ccc(cc1)[C@H](C)C(O)=[OH+],0,2,0,0.42,0.92,1.88,3.52,4.43,5.01,6.47,8.22
CC(C)N(C(=O)COc1sc(nn1)C(F)(F)F)c2ccc(F)cc2,CC(C)N(C(=[OH+])COc1sc(nn1)C(F)(F)F)c2ccc(F)cc2,0,2,0,0.47,1.28,2.37,4.31,5.67,6.93,8.48,10.42
CC(C)N(C(=O)COc1sc(nn1)C(F)(F)F)c2ccc(F)cc2,CC(C)N(C(=[OH+])COc1sc(nn1)C(F)(F)F)c2ccc(F)cc2,1,0,0,-2.2,-3.95,-8.32,-12.7,-14.91,-16.78,-18.33,-19.07
CC(C)N1C(=O)N(CSC1=NC(C)(C)C)c2ccccc2,CC(C)N1C(=[O+])N(CSC1=NC(C)(C)C)c2ccccc2,0,2,0,0.38,1.15,2.31,4.01,5.06,6.17,7.59,9.07
CC(C)N1C(=O)N(CSC1=NC(C)(C)C)c2ccccc2,CC(C)N1C(=[O+])N(CSC1=NC(C)(C)C)c2ccccc2,1,2,0,0.49,0.89,2.11,3.34,4.34,5.64,6.93,8.84
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)[OH2+],0,2,0,0.42,0.98,1.96,3.54,4.63,5.99,7.65,9.56
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)[OH2+],1,1,0,-1.15,-2.5,-4.1,-4.6,-4.6,-3.4,-1.8,-0.2
